"login"	"password"
"mary1614"	"m94662283861"
"mary2382"	"m52943818472"
"mary6024"	"m76437781696"
"mary1155"	"m35122774316"
"mary1211"	"m60906539359"
"mary4222"	"m81011813461"
"mary9829"	"m74325631400"
"mary8458"	"m81590025318"
"mary2476"	"m70233475140"
"mary5642"	"m82331814561"
"mary1774"	"m73728152573"
"mary8052"	"m43165412597"
"mary5947"	"m55757267410"
"mary5316"	"m56683296924"
"mary4258"	"m56683296924"
"mary1638"	"m78796170769"
"mary2632"	"m16723154925"
"mary4309"	"m26450104502"
"mary4207"	"m70445385096"
"mary5926"	"m34702474351"
